symbol,logFC_N2fed_N2starved,FDR_N2fed_N2starved,logFC_daf2_N2,FDR_daf2_N2,logFC_daf16_N2,FDR_daf16_N2,logFC_double_N2,FDR_double_N2,logFC_double_daf2,FDR_double_daf2,logFC_double_daf16,FDR_double_daf16
clec-12,0.338250547,0.140075597,0.31781474,0.29091282,1.452635918,5.87E-12,0.039583506,0.963315692,-0.278211001,0.331117159,-1.412992931,2.18E-09
C10E2.1,0.160547001,0.745271591,0.466204248,0.341452323,1.559252944,7.89E-07,0.155361363,0.875944383,-0.31065263,0.555793407,-1.403540574,0.000678368
Y105C5A.13,1.365465137,2.06E-10,-0.817990224,0.000570887,-1.272468781,2.51E-08,-2.316981419,1.19E-23,-1.499108504,1.55E-10,-1.04459818,0.002502877
Y17D7C.2,0.594571408,0.052342336,-1.075339201,0.002204205,1.723781851,1.94E-11,0.702318807,0.037438395,1.777536971,1.91E-09,-1.021273048,0.006480094
R10F2.6,1.681561603,3.09E-08,-0.105606874,0.826624509,0.296942773,0.504580889,-0.672155505,0.058640981,-0.56668429,0.080966452,-0.969134076,0.036906374
C01G10.10,0.025393895,0.902199318,-0.197617794,0.351549435,0.809955282,3.34E-08,-0.093254971,0.790417182,0.104352573,0.630273463,-0.90319279,5.96E-08
tatn-1,-1.43374463,2.24E-15,-2.496554712,7.88E-39,-1.112779616,1.14E-08,-1.982201668,1.89E-25,0.514329815,0.015853088,-0.86943106,0.001132741
unc-76,0.351204352,0.00034892,-0.071771824,0.656174201,0.794265297,2.58E-16,-0.074868599,0.711089512,-0.003097751,1,-0.86913059,2.02E-17
C08E3.1,1.976933286,1.41E-16,-1.32029873,2.20E-08,1.342252397,1.59E-10,0.536244476,0.041627398,1.856485601,5.60E-17,-0.805964419,0.013311281
R05G9R.1,0.3677204,0.066718044,-1.011439357,3.17E-06,0.995663073,1.01E-06,0.200820045,0.579540933,1.21222926,3.48E-09,-0.794821506,0.006885307
C08E3.13,1.636251764,2.41E-18,-0.993708462,4.97E-07,1.187902627,4.32E-10,0.506826163,0.026111511,1.500528493,7.66E-16,-0.681068649,0.03444691
nars-2,-0.935328463,5.45E-10,-0.06156161,0.8419176,0.227826621,0.400875325,-0.427914319,0.039753134,-0.366371723,0.054630314,-0.655744283,0.012837624
JC8.2,0.464638529,3.69E-07,0.670475605,8.81E-13,0.339201013,0.00144507,0.687844203,1.92E-13,0.017371668,0.918685417,0.34864492,0.029248527
pdcd-2,1.348235037,7.82E-46,0.456859209,6.40E-06,0.149455366,0.338494964,0.503678085,5.23E-07,0.046821218,0.751769859,0.354223831,0.03444691
puf-12,-0.092360153,0.377529189,0.614245661,5.19E-09,0.347394503,0.003510844,0.73035541,1.54E-12,0.116110976,0.389957293,0.382961625,0.029738826
T24H7.2,-0.010272609,0.92059584,0.206683176,0.066156105,-0.035311269,0.894811059,0.37912039,0.000158895,0.172438078,0.112856792,0.414431931,0.001324408
lys-1,-2.066770164,1.36E-83,-0.238710227,0.082349416,0.03804149,0.908890597,0.458997789,0.000143417,0.697708583,2.26E-10,0.420957039,0.026026117
pqn-25,1.743066202,2.14E-49,0.162743431,0.316986877,-0.42924832,0.001515474,0.010081465,0.994204947,-0.152661344,0.313021804,0.439327882,0.03444691
gdh-1,-0.602422946,1.09E-06,0.041928259,0.865279453,-0.5278576,0.000186877,-0.045249076,0.89490897,-0.087177337,0.640291536,0.482608398,0.028672212
ctsa-1.2,-2.516681095,1.75E-63,-0.038658983,0.906126331,1.375892651,1.40E-19,1.943648282,4.33E-38,1.982314943,3.25E-40,0.56776535,0.028299398
ire-1,0.030455258,0.746640685,-0.048022518,0.748037185,-0.770187843,3.43E-18,-0.138310075,0.304880666,-0.090288287,0.453426332,0.631874121,2.07E-10
E01G4.5,1.421412881,1.49E-16,-0.410725763,0.046427453,0.176518699,0.594693901,0.872160517,7.17E-07,1.282890337,1.30E-14,0.695649018,0.006480094
Y55B1AR.2,0.022641677,0.872737593,-0.247259294,0.130678476,0.009806144,0.999300435,0.770591777,1.69E-09,1.017856261,1.11E-16,0.760790182,1.32E-07
F01D5.1,-0.963162561,6.65E-08,0.717898412,0.000377689,-1.526656785,2.00E-14,-0.728738007,0.000693268,-1.446646513,1.24E-14,0.797863497,0.015727827
cysl-2,-2.512013915,2.75E-32,1.499761484,8.07E-12,0.175255526,0.710507345,0.995417913,1.95E-05,-0.504308913,0.035665755,0.820174923,0.028226536
T01D3.6,0.356076681,0.024541628,0.191912676,0.403935208,-0.213264816,0.446543449,0.610459206,0.000642711,0.418548159,0.019144096,0.823724234,6.70E-05
lgc-28,1.170586207,3.83E-07,1.293179175,2.46E-10,0.044594881,0.959569297,0.893267817,5.54E-05,-0.39980874,0.071981365,0.848703561,0.006545431
clec-72,-0.677416881,0.001308384,0.548449734,0.033010806,-2.287902557,3.66E-23,-1.269534141,4.58E-08,-1.818007165,1.66E-16,1.018289189,0.003189577
C14C6.5,-2.10933024,6.07E-35,-0.906180802,3.62E-06,-0.680762634,0.001122128,0.74803071,0.000123232,1.654203767,4.78E-20,1.428786041,4.23E-13
lys-7,-1.318920291,2.29E-09,-0.38390042,0.206913203,-3.795626601,8.28E-43,-2.34416106,1.24E-20,-1.960405193,4.63E-15,1.451033992,0.000678368
npp-9,-0.746257381,3.62E-06,1.662097607,2.09E-23,-0.143373223,0.682356148,1.479536226,7.75E-19,-0.182558124,0.407490146,1.62291018,2.28E-20
delm-2,-0.661188609,0.543863774,-0.312761577,1,2.474096575,0.000103448,4.500331183,2.10E-22,4.816170645,1.53E-24,2.03104674,6.65E-07
col-17,-13.50115843,0,0.522314309,0.383577884,-1.168139062,0.197020486,1.325581479,0.00833668,0.804496315,0.084991632,2.49269471,0.000131804
F55G11.4,-1.353821778,0.000456107,-1.677778401,0.000704686,-1.721820826,0.000920517,0.777980059,0.166635593,2.455425413,2.76E-08,2.499378743,3.46E-06