geno,replicate,day,Tp,Ta,prop_alive
WT,7,1,96,96,1
daf-2,7,1,100,99,0.99
daf-16; daf-2,7,1,103,102,0.990291262
daf-16,7,1,87,85,0.977011494
WT,7,3,96,96,1
daf-2,7,3,154,152,0.987012987
daf-16; daf-2,7,3,106,88,0.830188679
daf-16,7,3,100,89,0.89
daf-16; daf-2,7,4,103,82,0.796116505
daf-16,7,4,106,76,0.716981132
WT,7,5,79,76,0.962025316
daf-2,7,5,147,142,0.965986395
daf-16; daf-2,7,5,120,83,0.691666667
daf-16,7,5,78,52,0.666666667
daf-16; daf-2,7,6,125,87,0.696
daf-16,7,6,81,65,0.802469136
WT,7,7,72,65,0.902777778
daf-2,7,7,149,149,1
daf-16; daf-2,7,7,103,70,0.67961165
daf-16,7,7,93,47,0.505376344
daf-16; daf-2,7,8,105,69,0.657142857
daf-16,7,8,116,42,0.362068966
WT,7,9,79,55,0.696202532
daf-2,7,9,141,137,0.971631206
daf-16; daf-2,7,9,104,57,0.548076923
daf-16,7,9,120,50,0.416666667
daf-16; daf-2,7,10,153,52,0.339869281
daf-16,7,10,92,30,0.326086957
WT,7,11,56,31,0.553571429
daf-2,7,11,133,127,0.954887218
daf-16; daf-2,7,11,125,42,0.336
daf-16,7,11,88,20,0.227272727
daf-16; daf-2,7,12,110,38,0.345454545
daf-16,7,12,80,21,0.2625
WT,7,13,86,17,0.197674419
daf-2,7,13,149,122,0.818791946
daf-16; daf-2,7,13,116,18,0.155172414
daf-16,7,13,102,6,0.058823529
daf-16; daf-2,7,14,109,18,0.165137615
daf-16,7,14,108,8,0.074074074
WT,7,15,73,4,0.054794521
daf-2,7,15,119,82,0.68907563
daf-16; daf-2,7,15,127,9,0.070866142
daf-16,7,15,82,1,0.012195122
daf-16; daf-2,7,16,121,6,0.049586777
daf-16,7,16,126,0,0
daf-16; daf-2,7,18,113,0,0
WT,7,19,80,0,0
daf-2,7,19,83,37,0.445783133
daf-2,7,21,84,44,0.523809524
daf-2,7,23,121,55,0.454545455
daf-2,7,25,92,43,0.467391304
daf-2,7,27,149,37,0.248322148
daf-2,7,29,157,43,0.27388535
daf-2,7,31,125,19,0.152
WT,8,1,79,78,0.987341772
daf-16; daf-2,8,1,131,120,0.916030534
daf-16,8,1,99,93,0.939393939
daf-16; daf-2,8,2,125,113,0.904
daf-16,8,2,85,79,0.929411765
WT,8,3,92,89,0.967391304
daf-2,8,3,39,39,1
daf-16; daf-2,8,3,141,97,0.687943262
daf-16,8,3,93,83,0.892473118
daf-16; daf-2,8,4,129,88,0.682170543
daf-16,8,4,104,73,0.701923077
WT,8,5,76,69,0.907894737
daf-2,8,5,48,46,0.958333333
daf-16; daf-2,8,5,141,85,0.602836879
daf-16,8,5,84,61,0.726190476
daf-16; daf-2,8,6,137,84,0.613138686
daf-16,8,6,100,61,0.61
WT,8,7,90,86,0.955555556
daf-2,8,7,47,45,0.957446809
daf-16; daf-2,8,7,143,76,0.531468531
daf-16,8,7,90,57,0.633333333
daf-16; daf-2,8,8,167,86,0.51497006
daf-16,8,8,89,36,0.404494382
WT,8,9,87,83,0.954022989
daf-2,8,9,37,36,0.972972973
daf-16; daf-2,8,9,148,76,0.513513514
daf-16,8,9,109,43,0.394495413
daf-16; daf-2,8,10,128,55,0.4296875
daf-16,8,10,89,32,0.359550562
WT,8,11,73,60,0.821917808
daf-2,8,11,41,38,0.926829268
daf-16; daf-2,8,11,146,44,0.301369863
daf-16,8,11,107,45,0.420560748
daf-16; daf-2,8,12,139,29,0.208633094
daf-16,8,12,95,30,0.315789474
WT,8,13,111,84,0.756756757
daf-2,8,13,37,34,0.918918919
daf-16; daf-2,8,13,149,37,0.248322148
daf-16,8,13,93,27,0.290322581
daf-16; daf-2,8,14,131,11,0.083969466
daf-16,8,14,75,8,0.106666667
WT,9,1,101,101,1
daf-2,9,1,113,113,1
daf-16; daf-2,9,1,104,102,0.980769231
daf-16,9,1,104,99,0.951923077
daf-16; daf-2,9,2,116,103,0.887931034
daf-16,9,2,75,69,0.92
WT,9,3,113,108,0.955752212
daf-2,9,3,86,85,0.988372093
daf-16; daf-2,9,3,80,70,0.875
daf-16,9,3,71,58,0.816901408
daf-16; daf-2,9,4,87,57,0.655172414
daf-16,9,4,88,62,0.704545455
WT,9,5,139,135,0.971223022
daf-2,9,5,82,80,0.975609756
daf-16; daf-2,9,5,98,71,0.724489796
daf-16,9,5,62,49,0.790322581
daf-16; daf-2,9,6,106,81,0.764150943
daf-16,9,6,74,55,0.743243243
WT,9,7,106,102,0.962264151
daf-2,9,7,92,90,0.97826087
daf-16; daf-2,9,7,97,71,0.731958763
daf-16,9,7,76,38,0.5
daf-16; daf-2,9,8,98,60,0.612244898
daf-16,9,8,81,31,0.382716049
WT,9,9,97,89,0.917525773
daf-2,9,9,91,80,0.879120879
daf-16; daf-2,9,9,104,51,0.490384615
daf-16,9,9,91,38,0.417582418
daf-16; daf-2,9,10,104,37,0.355769231
daf-16,9,10,86,24,0.279069767
WT,9,11,106,82,0.773584906
daf-2,9,11,85,75,0.882352941
daf-16; daf-2,9,11,91,37,0.406593407
daf-16,9,11,86,24,0.279069767
daf-16; daf-2,9,12,94,21,0.223404255
daf-16,9,12,87,10,0.114942529
WT,9,13,108,68,0.62962963
daf-2,9,13,98,87,0.887755102
daf-16; daf-2,9,13,103,18,0.174757282
daf-16,9,13,105,5,0.047619048
daf-16; daf-2,8,14,131,11,0.083969466
daf-16,8,14,75,8,0.106666667
WT,8,15,108,48,0.444444444
daf-2,8,15,30,25,0.833333333
daf-16; daf-2,8,15,134,8,0.059701493
daf-16,8,15,107,15,0.140186916
daf-16; daf-2,9,14,96,21,0.21875
daf-16,9,14,80,0,0
WT,9,15,114,66,0.578947368
daf-2,9,15,88,79,0.897727273
daf-16; daf-2,9,15,90,15,0.166666667
daf-16,9,15,100,0,0
daf-16; daf-2,8,16,124,1,0.008064516
daf-16,8,16,90,8,0.088888889
WT,8,17,93,37,0.397849462
daf-2,8,17,82,55,0.670731707
daf-16; daf-2,8,17,112,0,0
daf-16,8,17,106,3,0.028301887
daf-16; daf-2,9,16,106,3,0.028301887
WT,9,17,106,58,0.547169811
daf-2,9,17,92,67,0.72826087
daf-16; daf-2,9,17,110,1,0.009090909
daf-16,8,18,98,2,0.020408163
WT,8,19,110,36,0.327272727
daf-2,8,19,46,37,0.804347826
WT,9,19,123,44,0.357723577
daf-2,9,19,88,61,0.693181818
WT,8,21,104,18,0.173076923
daf-2,8,21,40,23,0.575
WT,9,21,117,19,0.162393162
daf-2,9,21,95,33,0.347368421
WT,8,23,104,4,0.038461538
daf-2,8,23,39,25,0.641025641
WT,9,23,124,11,0.088709677
daf-2,9,23,92,19,0.206521739
WT,8,25,98,1,0.010204082
daf-2,8,25,44,12,0.272727273
WT,10,1,86,86,1
daf-2,10,1,101,101,1
daf-16; daf-2,10,1,133,124,0.932330827
daf-16,10,1,130,117,0.9
daf-2,9,25,104,25,0.240384615
daf-16; daf-2,10,2,110,94,0.854545455
daf-16,10,2,103,91,0.883495146
WT,8,27,102,0,0
daf-2,8,27,61,24,0.393442623
WT,10,3,70,63,0.9
daf-2,10,3,89,88,0.988764045
daf-16; daf-2,10,3,99,69,0.696969697
daf-16,10,3,87,65,0.747126437
daf-2,9,27,77,13,0.168831169
daf-16; daf-2,10,4,125,95,0.76
daf-16,10,4,83,60,0.722891566
daf-2,8,29,43,14,0.325581395
WT,10,5,88,83,0.943181818
daf-2,10,5,97,90,0.927835052
daf-16; daf-2,10,5,99,60,0.606060606
daf-16,10,5,90,58,0.644444444
daf-2,9,29,93,8,0.086021505
daf-16; daf-2,10,6,115,80,0.695652174
daf-16,10,6,95,65,0.684210526
daf-2,8,31,53,11,0.20754717
WT,10,7,87,81,0.931034483
daf-2,10,7,100,96,0.96
daf-16; daf-2,10,7,105,64,0.60952381
daf-16,10,7,96,43,0.447916667
daf-2,9,31,89,9,0.101123596
daf-16; daf-2,10,8,120,52,0.433333333
daf-16,10,8,93,29,0.311827957
daf-2,8,33,103,8,0.077669903
WT,10,9,90,82,0.911111111
daf-2,10,9,105,99,0.942857143
daf-16; daf-2,10,9,91,37,0.406593407
daf-16,10,9,94,29,0.308510638
daf-2,9,33,101,0,0
daf-16; daf-2,10,10,119,30,0.25210084
daf-16,10,10,105,9,0.085714286
daf-2,8,35,72,1,0.013888889
WT,10,11,101,80,0.792079208
daf-2,10,11,83,78,0.939759036
daf-16; daf-2,10,11,124,33,0.266129032
daf-16,10,11,108,17,0.157407407
daf-16; daf-2,10,12,130,32,0.246153846
daf-16,10,12,111,10,0.09009009
WT,10,13,96,69,0.71875
daf-2,10,13,103,82,0.796116505
daf-16; daf-2,10,13,119,13,0.109243697
daf-16,10,13,96,2,0.020833333
daf-16; daf-2,10,14,102,6,0.058823529
daf-16,10,14,89,1,0.011235955
WT,10,15,107,77,0.719626168
daf-2,10,15,94,68,0.723404255
daf-16; daf-2,10,16,149,1,0.006711409
daf-16; daf-2,10,16,108,1,0.009259259
WT,10,17,90,38,0.422222222
daf-2,10,17,103,57,0.553398058
WT,10,19,87,27,0.310344828
daf-2,10,19,108,39,0.361111111